StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S1-FR_4,S1-FR_5,S1-FR_6,S1-FR_7,S1-FR_8,S1FRtime_First Click,S1FRtime_Last Click,S1FRtime_Page Submit,S1FRtime_Click Count,S1A1_4,S1A1_5,S1A1_6,S1A2_4,S1A2_5,S1A2_6,S1A3_4,S1A3_5,S1A3_6,S1A4_4,S1A4_5,S1A4_6,S1A5_4,S1A5_5,S1A5_6,S2-FR_4,S2-FR_5,S2-FR_6,S2-FR_7,S2-FR_8,S2FRtime_First Click,S2FRtime_Last Click,S2FRtime_Page Submit,S2FRtime_Click Count,S2A1_4,S2A1_5,S2A1_6,S2A2_4,S2A2_5,S2A2_6,S2A3_4,S2A3_5,S2A3_6,S2A4_4,S2A4_5,S2A4_6,S2A5_4,S2A5_5,S2A5_6,S3-FR_4,S3-FR_5,S3-FR_6,S3-FR_7,S3-FR_8,S3FRtime_First Click,S3FRtime_Last Click,S3FRtime_Page Submit,S3FRtime_Click Count,S3A1_4,S3A1_5,S3A1_6,S3A2_4,S3A2_5,S3A2_6,S3A3_4,S3A3_5,S3A3_6,S3A4_4,S3A4_5,S3A4_6,S3A5_4,S3A5_5,S3A5_6,S4-FR_4,S4-FR_5,S4-FR_6,S4-FR_7,S4-FR_8,S4FRtime_First Click,S4FRtime_Last Click,S4FRtime_Page Submit,S4FRtime_Click Count,S4A1_4,S4A1_5,S4A1_6,S4A2_4,S4A2_5,S4A2_6,S4A3_4,S4A3_5,S4A3_6,S4A4_4,S4A4_5,S4A4_6,S4A5_4,S4A5_5,S4A5_6,S5-FR_4,S5-FR_5,S5-FR_6,S5-FR_7,S5-FR_8,S5FRtime_First Click,S5FRtime_Last Click,S5FRtime_Page Submit,S5FRtime_Click Count,S5A1_4,S5A1_5,S5A1_6,S5A2_4,S5A2_5,S5A2_6,S5A3_4,S5A3_5,S5A3_6,S5A4_4,S5A4_5,S5A4_6,S5A5_4,S5A5_5,S5A5_6,S6-FR_4,S6-FR_5,S6-FR_6,S6-FR_7,S6-FR_8,S6FRtime_First Click,S6FRtime_Last Click,S6FRtime_Page Submit,S6FRtime_Click Count,S6A1_4,S6A1_5,S6A1_6,S6A2_4,S6A2_5,S6A2_6,S6A3_4,S6A3_5,S6A3_6,S6A4_4,S6A4_5,S6A4_6,S6A5_4,S6A5_5,S6A5_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,FL_11_DO_Scenario1,FL_11_DO_Scenario2,FL_11_DO_Scenario3,FL_11_DO_Scenario4,FL_11_DO_Scenario5,FL_11_DO_Scenario6
8/21/2020 7:41,8/21/2020 8:01,0,,100,1241,1,8/21/2020 8:01,R_3frZtvXp9JvZs12,,,,,,,anonymous,EN,Start a charity for his wife,reach out to family members and ask for money,Ask the hospital to finance it,Try to make a viral video and collect money,Don't do anything ,10.244,71.133,82.464,3,100,100,100,100,100,100,100,100,100,80,100,100,1,0,0,Sit in the car and do nothing,Call the police and ask for help,"Call the flight company, explain the situation and ask for the next flight",Tow his car and take an uber to the airport,Ask drivers for help to push his car into a parking lot and ask for a ride,6.348,30.228,83.433,6,10,50,50,70,100,100,100,100,100,100,100,100,40,50,50,Ask the employers,Make everybody work over time,"Ask the employers, tell them if nobody comes forward everybody has to do overtime","Ask the employers, tell them that person can come to his office in private",Put his own personal money into the register,15.172,137.598,167.767,14,100,100,100,70,50,50,100,100,100,100,100,100,10,10,10,Ask the desk if she can make a phone call,Just wait for her friend at the gym,Leave the gym and go back to the office to give her friend a call,Pay for a new membership,Ask the desk for a free entry,2.138,85.599,112.541,5,90,100,100,100,100,100,70,75,75,70,100,100,20,25,30,Call her mom and ask to bring it to school,Call home and see if anybody is at home who could bring it,Explain the situation and ask the teacher to turn in the homework one day late,Offer the teacher to bring it in the evening,Explain the situation to the teacher and if the teacher is not satisfied offer her extra work to make up for it,2.08,91.891,137.348,9,100,100,100,100,100,100,100,100,100,100,100,100,85,100,100,Ask his friends if they know where they are ,Call the rescue team,Try to mark places they have been and try to find their way,"Brainstorm with friends about the way back, collect all pieces together",Don't say anything and just pretend they are not lost and continue to walk,3.136,81.702,111.708,6,100,100,100,100,100,100,100,100,100,100,100,100,10,0,0,,30,1,5,,5,5,5,6,1,4,3,2
8/21/2020 7:44,8/21/2020 8:03,0,,100,1133,1,8/21/2020 8:03,R_8IaSATGpBiLNxFn,,,,,,,anonymous,EN,Heinz try to claim medical loan,Heinz try to get help from others,Heinz try to seek a good job,Heinz try to get a job for more paid,Heinz try to get help from his friends,1.17,136.514,152.132,12,29,67,54,36,72,55,44,70,55,36,66,55,43,70,59,he should try to repair his car,he should to get help from others,he should try to get lift from others,he should book a taxi,he should call upon his friends,55.638,167.925,176.145,10,26,57,49,22,59,46,31,67,49,33,67,51,34,69,55,he should try to pay for it,he should find that the money,he should try to find where the money is,he should try to balance the missing money,he should rectify the mistake,2.209,77.29,88.602,5,29,67,51,35,70,57,36,75,59,38,74,60,36,67,57,she should get help from others,she try to contact her friend from other phone ,she try to get with her friend house ,she try to get her phone by seeking help from others,she try to intimate her friend,20.488,141.832,155.861,6,32,62,55,35,71,54,39,70,56,33,65,53,48,68,56,she should find help,she should find help from others,she should find help from her friends,she should find help from her family ,she should find help from her school,0.921,73.316,79.758,16,36,69,54,40,74,61,41,73,60,32,74,60,35,73,58,he should find them,he should make a search on him,he should try to rescue them,he should go onto the spot,he should get rescue on them,1.136,65.169,79.624,5,34,72,53,37,75,57,37,69,57,37,70,52,34,70,52,,46,1,5,,6,4,3,1,4,2,6,5
8/21/2020 7:42,8/21/2020 8:07,0,,100,1531,1,8/21/2020 8:07,R_5cnyVGXwsfYMzzb,,,,,,,anonymous,EN,Set up a go-fund- me to raise month.,Take out a loan for the medication.,Contact his congresspeople for help.,Contact the maker of the prescription to see if they will lower the price. ,Look for programs that help people in need.,14.852,150.487,202.114,8,80,100,100,61,100,90,51,100,93,87,100,72,100,100,100,See how long it would take AAA to get there.,Reschedule the flight.,Check if the flight is running late.,Call an uber and have his car towed after.,Rethink how important it is to kill wild animals in Africa.,2.43,160.745,195.571,5,100,100,100,29,100,20,100,100,100,91,100,100,0,100,0,Double check the books for errors.,Watch the cameras to see if it was theft.,Check with his employees to see if they remember giving out the wrong change. ,Put the money in the register himself.,Fake the numbers so it looks like there is no loss.,14.843,216.268,244.802,5,100,100,100,100,100,100,61,92,92,81,100,60,32,0,6,Ask the gym to comp her one day.,Ask to use the gym's phone,Sneak in behind someone else.,Ask the gym to use the credit card on file from her last membership.,Stand outside until her friend gets there and see if she will front her the oney for a new membership.,4.363,114.781,165.197,5,100,100,100,91,100,91,0,0,0,82,100,100,100,100,100,Call her mom to see if there is some way she can get it.,Ask the teacher for an extension given the circumstance.,Do nothing and deal with the consequences later. ,Skip class.,Pretend she is sick to get out of class.,6.95,132.741,158.22,6,100,100,100,100,100,100,5,3,0,0,0,0,19,0,6,Build a fire. A large fire so they can keep warm and so rescue can find them.,Ration the food and water.,Set off the rescue beeper.,Make a wind break if they don't have tents.,Bundle up to preserve body heat.,17.128,108.923,137.094,5,100,100,100,91,100,100,100,100,100,100,100,100,100,100,100,,59,1,5,,4,8,2,5,3,6,4,1
8/21/2020 8:03,8/21/2020 8:21,0,,100,1049,1,8/21/2020 8:21,R_2fCL8CiNBoWf5wc,,,,,,,anonymous,EN,ask if generic is available,seek out help from outside agencies,try to find a way to come up with the money to pay for it,look for prescription coupons or discount services,ask a family memeber to borrow the money,12.26,12.26,113.853,1,100,100,100,88,100,100,90,100,100,77,100,90,90,84,90,call someone for help,see if there is another flight that goes out later on,call a tow truck or mechanic,flag down another car for help,try to fix the car himself,8.45,69.234,94.743,3,99,100,100,84,100,100,94,100,100,82,94,93,83,100,100,recount the money to make sure that much is missing,tell the manager the truth,ask the manager if he could for go the overtime for staff,put his own money in the drawer to make up for the loss,find out who made the mistake and hold only them accountable,11.529,11.529,142.393,1,77,100,100,69,100,100,57,100,83,82,1,35,64,100,85,go to the gym and explain the situation,tell her friend the next day that she was sick and couldn't make it,go to the gym and renew her memebership,call the gym and have them get a message to Liz,go and play racquetball anyway even though the membership is expired,18.676,75.588,110.258,2,89,100,100,71,13,50,89,100,85,100,100,100,59,18,37,tell the teacher what happened,call her mom to bring her the assignment,ask if she could stay after class to redo the assignment,make up a story to her teacher so she doesn't get in trouble,offer to bring in the assignment tomorrow,9.465,9.465,90.768,1,86,100,96,94,100,100,82,100,94,81,19,40,83,100,100,look for something to start a fire with,look for shelter ,try to find out where they are to find a way out of there,look for water and food in their location,write sos in the dirt or snow,7.931,7.931,154.795,1,96,100,100,100,100,100,82,100,85,100,100,100,90,100,84,,53,2,5,,4,6,2,3,1,6,5,4
8/21/2020 8:05,8/21/2020 8:21,0,,100,950,1,8/21/2020 8:21,R_1mWNnjdFmWkNDCs,,,,,,,anonymous,EN,Sell one of his kidneys,Get a second job,take out a second mortgage,appeal his insurance's decision,rob a bank,19.576,19.576,75.869,1,0,54,12,94,100,100,50,99,88,51,100,93,2,0,19,Try to call the airport to explain the situation.,"leave his car, hail a taxi and go to the airport.",steal another car to get to the airport,ask someone else for a ride to the airport,forfeit it all as lost,18.501,55.813,75.942,3,52,100,92,20,71,45,0,0,0,23,49,8,69,100,85,use his own money to cover the shortfall,fudge the numbers so the shortfall is gone,fudge the numbers so the shortfall is less and therefore they have to work less to make up the difference.,tell his manager the truth,blame the difference on a coworker,11.726,12.23,97.026,2,30,71,36,50,0,69,51,21,50,27,100,64,59,0,69,Go back to work w/o talking to her friend,go back to work and call her friend from there,see if the gym will let her in so she can re-up her membership,Leave a message on her friend's car.,borrow a passerby's phone to call her friend.,22.241,34.525,122.166,2,25,25,61,85,97,98,83,100,99,39,76,66,46,91,67,explain the situation to her teacher,try to call her mom to have her bring the homework to her at school,do nothing,ask for an extension,leave school to get her work,7.242,7.242,56.113,1,99,100,100,92,100,100,74,74,85,66,75,75,46,55,61,Kill a bear and climb inside it for warmth,kill one of his friends and use them for food,try to find a river and follow it downstream and hope it leads to peopel,stay put and ration resources,keep calm and hike on,10.652,10.652,124.477,1,0,4,0,0,0,0,30,100,40,100,100,100,52,42,60,,34,2,1,,3,8,1,6,5,2,4,3
8/21/2020 8:13,8/21/2020 8:23,0,,100,611,1,8/21/2020 8:23,R_2A0YqNaAVHvZ7Yi,,,,,,,anonymous,EN,Ask a relative to borrow the money to purchase medication,Find an alternative cheaper medication,Talk to the medical person and find out if there is another way to get the medication,Sell personal item to get money from medication,Get a job to earn money to purchase own medication,5.177,51.677,58.282,10,88,52,72,92,95,94,51,28,36,63,82,62,85,100,95,Call someone to give him a ride to the airport,Get an Uber to the airport and have family members get car,Try to fix car and still get to the airport,Call a friend that knows how to fix cars,Leave the car and get bus to airport,14.648,65.246,67.382,9,91,100,64,100,98,97,35,100,95,84,100,83,11,6,30,Add additional money from own fund,Ask co-workers if they know what may have happened to the money,Tell the manager that it was an error and the items were not actually purchased,Ask all the co-workers to contribute to the missing funds,Not say anything about it and act like you did not know that it was missing,0.893,65.866,66.651,7,90,100,43,87,73,100,83,15,24,49,61,29,36,10,21,Wait there and let her friend know when she gets there,Ask someone to contact her for you,Find out if you are able to pay your way into the gym for one-day use,Talk to the front desk and see if they would make an exception,Renew your membership,16.279,84.449,85.241,11,84,95,81,29,59,56,78,96,93,47,36,55,82,100,91,Call home and ask if mom can bring homework to school,Tell teacher that you can hand it in later that day,Complete the homework assignment again before the class starts that day,Explain to the teacher what had happened,Not do anything and allow the missing homework assignment to damage grade,10.332,61.75,63.325,7,85,93,83,94,86,92,65,91,82,81,100,91,33,11,18,Find a source of food to eat,Look for wood to make a fire,If he has a phone try and contact someone,Search for a source of water,Rest and then wake up and find food and water,11.337,75.643,76.137,8,98,84,96,99,92,84,100,99,100,92,96,91,34,65,72,,2525,1,6,Black and white,5,5,6,1,3,4,5,2
8/21/2020 8:12,8/21/2020 8:26,0,,100,833,1,8/21/2020 8:26,R_b7SkXnvnbBSeL8R,,,,,,,anonymous,EN,apply for medical welfare,ask a doctor if there's any comparable medication that is cheaper,contact a local spiritual assembly to start a donation fund,sell items in their home that they don't use anymore,look for a local support group that deals with his wife's illness and see if they havve any ideas,1.383,1.383,137.368,1,50,100,100,90,100,100,30,100,100,100,100,100,45,100,100,ditch his car and call a cab,call a mechanic to tow the car and catch a cab in the meantime,call a friend to pick him up,ask for a ride from a passerby,start running to the airport on the side of the road,11.12,11.12,88.239,1,4,1,19,100,100,100,72,100,100,28,100,80,2,100,0,tell the manager the truth and offer to work all the overtime to make up for it,take the money from his own pay to balance the register,look around for the lost cash,blame one of his coworkers for stealing the cash,make up a story about being robbed,2.278,3.918,63.979,2,96,100,100,100,100,100,91,100,100,15,0,5,0,0,0,ask the person at the desk to call her friend for her,ditch her friend and go back to work to get her phone,ask someone coming in to get her friend,run past the desk and find her friend inside the gym,ask to see a manager and renew her membership,2.028,2.532,64.137,2,100,100,100,21,47,69,34,100,100,3,0,0,77,100,100,call her mother to bring the paper to school,tell her teacher the truth and ask for a 1-day extension,ask her mother to bring it at the end of school and run it to the teacher then,ask to copy someone else's homework before class,ditch an earlier class to run home and get the homework,1.892,1.892,62.314,1,90,100,100,100,100,100,95,100,100,38,7,18,15,50,7,brad could dig a hole and have them huddle in it,brad could have everyone share the same tent to conserve heat,brad could sharpen a stick to hunt for food,brad could tell his friends what is going on so they can plan together,brad can use his cellphone to try and get reception ,1.512,1.512,88.815,1,8,100,50,100,100,100,71,100,100,100,100,100,100,100,100,,33,2,5,,6,6,1,3,4,5,2,6
8/21/2020 8:10,8/21/2020 8:29,0,,100,1169,1,8/21/2020 8:29,R_2amD0pISc8HGVHX,,,,,,,anonymous,EN,Heinz can start a GoFundMe page to help with the costs.,Heinz can call the drug manufacturer and see if they can help reduce the expense.,Heinz can seek out a prescription assistance program.,Heinz can call his Congressional Representative and Senators to see if they can help.,Heinz can give up and tell his wife she is on her own.,2.689,26.676,129.366,4,85,100,100,95,100,100,90,100,100,65,100,75,1,0,0,Josh can call a tow truck and a taxi so the car can be removed from the road and the taxi can take him to the airport.,Josh can get an Uber and leave his car.,Josh can call a friend to pick him up and another friend to deal with his car.,Josh can cancel the tr-- hunting in Africa isn't terribly ethical and he sees the car breaking down as a sign that he was doing the wrong thing.,Josh can walk the rest of the way.,3.945,18.468,125.908,3,85,100,100,15,33,25,26,45,40,50,100,100,0,93,0,Brian can go through the receipts and try to find the source of the error.,Brian can put his own money into the register to make up for it.,Brian can report the issue to the morning manager.,Brian can re-count the drawer.,Brian can just ignore the problem.,3.687,56.171,142.77,3,95,100,100,70,100,100,55,75,75,85,100,100,10,10,49,Ask someone at the gym to use their phone so Liz can call her friend.,Ask the front desk at the gym to call her friend for her.,Liz can try to catch her friend before it is too late by leaving the gym and driving to where she thinks her friend will be.,Liz can renew her gym membership.,Liz can wait out front for her friend and they can go do something else.,2.708,26.365,136.23,3,40,100,51,60,100,51,10,60,25,90,100,100,60,100,75,Mary can explain what happened to her teacher.,Mary can call her mom to have her bring the assignment.,Mary can re-do the assignment before class.,Mary can say the dog ate her homework.,Mary can ask if she can bring the assignment in the next day.,3.926,23.781,101.649,3,90,75,100,75,100,100,30,100,51,3,0,5,55,100,80,Brad and his friends can make a safe camp to stay safe and warm until the can figure out the next step.,Brad can try to find the way back.,Brad can send a signal to call for help.,Brad and his friends can trudge on and try to find a way out.,Brad and his friends can have a party and use all the supplies that they have left.,2.026,28.965,134.139,3,75,100,100,51,60,75,90,100,100,25,50,65,5,5,5,,48,1,5,,5,6,5,2,6,1,3,4
8/21/2020 8:15,8/21/2020 8:29,0,,100,888,1,8/21/2020 8:29,R_3qgPfxPFK2CmUKX,,,,,,,anonymous,EN,Ask friends and family for funds.,Publicly request help on social media.,Start a Go Fund Me for the meds.,State your case to your insurance provider.,Steal the medication.,9.057,9.057,101.887,1,61,62,62,61,62,62,67,68,69,69,70,70,30,15,29,Call his auto club.,Call a tow truck.,Call an Uber and leave his car to be towed.,"Call a friend to pick him up, take him to the airport, and deal with his car.",Call the airline to reschedule his flight.,4.218,39.07,93.984,3,89,90,90,91,90,90,81,81,82,61,61,62,92,91,91,Replace the money with his own funds.,Sell some items without ringing the up and put the money in the register.,Review the receipts to try and determine what happened.,Speak to any employee with access to the register.,Review any video available.,5.343,5.343,100.186,1,62,52,52,51,45,51,70,71,71,70,70,71,74,74,75,Wait for her friend to let her know.,Update her gym membership.,Just go back to work.,Go out for lunch instead.,Leave a note for her friend.,6.08,6.08,88.334,1,74,75,76,71,72,73,52,36,53,51,35,50,71,72,73,Explain what happened to the instructor.,Call her Mom to bring it.,Call in sick to her class.,Try and recreate it quick.,Just ditch the class.,5.297,5.297,82.62,1,79,79,80,81,81,82,60,51,62,69,69,70,49,42,50,Stay put and wait for rescue.,Build a makeshift shelter.,Try and find his way back.,Build a big signal fire.,Yell and scream for help.,8.332,8.332,105.558,1,70,72,71,72,73,74,71,72,72,63,64,65,60,62,63,,62,2,5,,4,8,3,1,2,4,6,5
8/21/2020 8:26,8/21/2020 8:38,0,,100,702,1,8/21/2020 8:38,R_2rCJ8JGHMsK8SiB,,,,,,,anonymous,EN,plead with the pharmacy for the medication,create a fake insurance card,steal the medication,go without the medication,try to get someone else to give them their medication,14.061,14.061,60.624,1,60,100,30,10,0,1,40,30,20,50,100,90,10,70,30,call an uber or taxi,ask a friend for a ride,cancel his trip,hitchhike to the airport,call a bomb threat into the airport to delay his flight,13.18,13.18,54.099,1,90,100,100,81,100,100,10,100,3,3,95,5,0,0,0,pay the money back on his own,take up a collection from all the employees,change the receipts to show the register is correct,confront each employee to see if they took the money,quit and not have to work the overtime,17.187,17.187,62.364,1,25,100,20,50,100,20,20,10,5,80,100,75,1,100,1,pay to reestablish her membership,leave and not tell her friend,sneak in,promise to pay next time,say that there must have been a mistake and trick her way inside,12.006,12.006,56.405,1,90,100,95,21,10,20,5,0,10,20,100,85,2,6,10,explain what happened to the teacher,go home and get the assignment,promise to bring it in the next day,have mom bring the assignment to school,call mom and she can explain what happened to the teacher,10.792,11.284,49.121,2,98,100,100,50,100,90,86,100,95,61,100,95,30,100,25,build a fire for warmth,send a smoke signal to rescuers,give up and wait to die,make plans for surviving long term,send friends in different directions for help,12.77,12.77,66.644,1,98,100,100,40,100,60,1,50,1,92,100,97,20,80,39,,46,1,5,,5,5,4,2,1,3,5,6
8/21/2020 8:29,8/21/2020 8:40,0,,100,704,1,8/21/2020 8:40,R_2yrsqiqFCxYNYyV,,,,,,,anonymous,EN,start a fundraiser,ask for a loan,steal the medicine,find out if there are any assistance programs,prepare for his wife to die,1.008,3.644,66.298,4,81,100,85,77,100,81,40,82,29,84,100,86,19,31,30,call a friend,call an Uber,flag down a ride,miss his flight,catch a later flight,0.815,3.68,36.877,4,81,80,81,75,81,75,22,71,22,40,71,41,41,71,40,pay out of his own pocket,work the overtime,explain to the manager what happened,change the numbers of the accounting sheet,lie about how much money is left,1.132,8.626,56.846,5,50,90,49,60,81,60,80,100,80,20,30,21,19,23,20,borrow another phone,alert the gym staff to tell her,she could leave,she could ask to enter to tell her friend,she could renew her membership,1.945,46.789,80.304,4,20,92,51,71,100,93,10,10,19,70,92,83,80,100,100,tell the teacher what happened,call her mom to bring the homework,copy a friend's homework,don't turn in homewortk,go home early,1.569,8.762,71.943,4,60,100,57,19,80,43,50,22,51,51,51,51,40,40,41,wait for the crew,try to find their way back,look for materials to survive,create a fire to alert for help,call out for help,10.663,15.852,64.615,5,51,74,55,62,77,64,55,80,63,42,76,44,64,86,70,,32,1,5,,5,6,5,4,6,1,2,3
8/21/2020 8:33,8/21/2020 8:50,0,,100,1002,1,8/21/2020 8:50,R_DCpWsRhWebfMff3,,,,,,,anonymous,EN,deplete his savings account,take out a loan,withdraw from his 401 K,re-mortgage his house,take a second job to earn extra cash,19.703,63.081,78.019,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,call an uber,call a taxi,call AAA,call friends,call parents or spouce,25.103,49.831,63.225,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,ask staff if they are aware of this mistake,alert staff they might have to work overtime,talk to staff individually to see who made the error,just put the money in myself,hope staff tells me that they made a mistake,30.872,128.047,159.25,6,100,100,100,100,100,100,100,100,100,50,51,51,100,100,100,use a phone at the desk,ask another member to call your friend,ask another member to borrow there phone,if no phone go to another place or business to use there phone,ask a stranger to borrow their phone,18.835,131.346,150.477,5,100,100,100,100,100,100,100,100,100,50,50,51,1,1,1,explain to the teacher just what happened,call her mom to bring the assignment to school,ask for a continuence for this assignment,pretend you are sick and go home,ask the teacher if you can bring it in the next day,21.161,139.833,141.74,6,100,100,100,100,100,100,100,100,100,5,5,6,100,100,100,make a fire to keep warm,try to signal somehow for help,try to hunt for food,try to fish for food,look for a cave or other secluded place to keep warm,47.107,88.587,108.507,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,68,2,5,,2,8,1,5,4,6,3,2
8/21/2020 8:37,8/21/2020 8:51,0,,100,891,1,8/21/2020 8:51,R_2QoprpA1h1YmpRw,,,,,,,anonymous,EN,Find extra jobs to make money.,Ask family for help.,Ask friends and strangers for help.,Start a GoFundMe.,Pawn belongings.,9.806,53.409,62.064,2,80,95,95,75,80,90,70,70,75,50,85,66,60,80,80,Call AAA.,Get an Uber.,Call a taxi.,Hitchhike.,Start walking/running.,29.783,29.783,59.513,1,70,92,90,80,90,90,80,95,91,40,66,35,30,91,30,Pay it back out of his pocket.,Find out who is responsible and make them pay.,Ask everyone to pitch in. ,Do nothing and work overtime.,Lie.,14.212,14.212,61.771,1,40,81,51,61,81,75,75,87,80,60,50,70,20,10,20,Ask to use someone else's phone.,Ask to use the front desk's phone.,Pay for a new membership.,Stay and explain to her friend.,Go back to get her phone and call her friend late.,1.525,1.525,63.419,1,60,75,50,75,89,80,60,85,75,65,90,80,50,50,70,Explain to her teacher.,Call her mom.,Try to redo it quickly.,Take the zero.,Cry.,13.763,13.763,57.618,1,75,90,90,75,95,95,40,87,55,60,40,70,30,30,20,Scavenge for food and water and wait.,Try to hike in a set direction.,Yell out.,Huddle up and camp.,Try to find service on a cell phone.,9.505,9.505,86.221,1,40,80,50,65,65,60,75,70,75,60,75,80,80,85,90,,34,1,5,,5,8,4,5,6,2,1,3
8/21/2020 8:53,8/21/2020 9:06,0,,100,761,1,8/21/2020 9:06,R_elz9kThcQlX2GAh,,,,,,,anonymous,EN,steal money,Rob pharmacist for meds,kidnap doctor ,start go fund me,let her die,52.352,76.817,79.917,8,70,37,79,42,31,40,12,20,16,80,77,73,2,2,2,call taxi ,call friend,steal car,Grand theft auto a car like the game,pay someone to take you ,78.887,114.129,121.611,9,77,55,59,87,85,82,18,16,14,6,8,2,72,59,60,pay it himself,triple check numbers,do not day anything ,fix the numbers,quit job,17.63,56.594,57.042,12,86,54,44,93,88,91,65,57,77,85,29,41,45,32,26,Leave a message at the front desk,wait in front of the gym,not show up,Explain later,call on a land line ,17.489,59.423,60.122,8,49,86,91,51,50,56,62,42,41,83,53,64,92,93,93,do it again before class,skip class,call your mom and tell her off,copy your friends,fake sick leave school,9.251,41.109,49.76,6,80,77,80,44,26,27,40,39,27,81,56,48,34,26,23,call rescue crews,start a fire,hike back,hunt food,sleep,15.794,131.277,133.641,13,85,83,55,58,57,67,69,59,61,73,71,61,74,66,64,,36,1,5,,6,6,3,5,2,1,4,6
8/21/2020 9:01,8/21/2020 9:14,0,,100,740,1,8/21/2020 9:14,R_3Mb4qzUpmrSS5Qe,,,,,,,anonymous,EN,Ask friends and family members for help,start a gofundme page,look for different treatment,Not get the treatment,take out a loan,7.29,7.29,43.653,1,51,94,94,51,93,76,51,90,88,33,16,17,51,90,84,Call a friend,Call a family member,Pay for an uber,Change the flight,Cancel the trip,8.499,8.499,40.944,1,51,97,96,51,99,99,51,91,90,51,99,90,51,93,50,Ask the staff what happened to it,Take money from his next paycheck,Take the money from his own wallet,Make the staff work overtime,Ask everyone to pay for it equally,29.55,29.936,105.775,2,51,100,96,50,100,91,50,100,95,52,30,38,50,52,52,Renew the membership,Ask to use someone's phone,Wait for her friend to tell her,Go back to work,Suggest they do something else,10.667,10.667,46.86,1,52,95,96,51,96,90,50,92,90,51,51,51,51,85,86,Explain the situation to the teacher,have her mom bring it to her,redo the assignment before class,not turn anything in,copy someone else's,165.417,165.417,199.527,1,52,91,94,51,94,94,50,95,86,51,77,78,51,51,52,Make a shelter,Collect food,Retrace their steps,call for help,Look for other people,7.085,30.49,51.399,2,50,99,98,52,98,99,51,98,97,51,97,99,50,96,96,,26,2,5,,4,6,2,3,5,4,1,6
8/21/2020 9:08,8/21/2020 9:20,0,,100,691,1,8/21/2020 9:20,R_12maiGdaXfy8alA,,,,,,,anonymous,EN,ask for help,see about a discount,go somewhere else,ask about a different medication,steal,31.789,56.953,60.996,5,90,100,100,93,100,94,72,94,99,93,100,100,28,14,11,call for help,listen to the radio,book a later flight on his phone,call a friend,ask some one to help him get to the airport,40.07,96.633,113.117,7,92,100,100,51,100,51,76,100,100,75,100,100,50,100,51,use his own money,recount,call the manager,search the employees,leave it as is,11.714,42.064,58.339,5,81,100,99,100,100,100,82,100,100,51,51,51,71,85,86,get a new membership,ask someone to get her friend,borrow a phone,go back and call,ask to go in temporarily,12.741,64.493,78.372,5,82,100,100,79,100,100,90,100,100,62,100,100,51,94,94,call her mom,explain,do it again,go home and get it,talk to teacher,17.394,38.403,45.447,5,92,100,100,98,100,100,76,100,100,86,100,92,100,100,100,call for help,let someone else lead,wait for help,separate,find a new route,35.803,63.149,69.023,6,87,100,100,78,99,94,92,100,100,51,85,71,61,84,85,,52,1,5,,4,8,5,1,3,2,6,4
8/21/2020 12:08,8/21/2020 12:16,0,,100,472,1,8/21/2020 12:16,R_2bVKGeC86BL7Zgp,,,,,,,anonymous,EN,ask a bank for a loan,ask family for a loan,ask friends for a loan,put it on a credit card,sell some possessions,6.724,10.271,44.447,6,64,89,90,85,92,93,54,68,74,78,89,91,65,100,86,ask a stranger for a ride,ask family for a ride,ask friends for a ride,take a taxi,use a ridesharing app,0.709,51.077,53.028,8,21,52,38,77,71,90,69,74,75,31,67,56,81,90,90,put his own money in,leave without balancing it,tell someone about the situation,ask staff for money to pitch in,ask his manager what to do,13.853,14.757,66.417,5,38,82,69,58,43,59,59,63,61,29,53,46,78,91,80,ask the gym to borrow a phone,pay for a new membership,leave without telling her friend,stay there and tell her friend when her friend arrives,ask the gym to still let her in,0.893,6.071,43.14,5,73,85,79,84,93,89,84,21,46,85,86,80,50,55,47,tell the teacher the truth,make up an excuse,quickly redo it,ask someone to their work,don't turn in anything,4.428,6.522,32.984,6,100,100,92,42,33,63,65,76,52,31,21,45,41,51,51,stay in place,try to find a way to contact someone,do nothing,talk to his friends,try to find their way ,4.132,5.156,46.266,2,61,56,55,80,80,83,46,46,42,66,65,57,62,71,59,,26,2,3,,5,8,1,2,4,3,6,5
