,vignette_name,generation_number,generation_time,response,reflection_score,id
51,scenario7,4,9.348,Look out of the window to see what is going on.,1.0,R_1Apm0QuefchYqiZ
52,scenario7,5,7.79,Check my phone.,1.0,R_1Apm0QuefchYqiZ
53,scenario7,6,26.302,Take a selfie.,1.0,R_1Apm0QuefchYqiZ
54,scenario7,7,22.62,Clean my desk.,1.0,R_1Apm0QuefchYqiZ
55,scenario7,8,21.303,Playing a game on the office computer.,1.0,R_1Apm0QuefchYqiZ
56,scenario8,1,12.419,Press the button for the floor I am going to.,1.0,R_1Apm0QuefchYqiZ
57,scenario8,2,10.391,Say hello to other people in the elevator.,1.0,R_1Apm0QuefchYqiZ
58,scenario8,3,9.952,Move back so other people could get on.,1.0,R_1Apm0QuefchYqiZ
59,scenario8,4,4.995,Check my phone.,1.0,R_1Apm0QuefchYqiZ
60,scenario8,5,45.665,Press the button for someone else who could not reach it.,1.0,R_1Apm0QuefchYqiZ
61,scenario8,6,18.351,Have a conversation with someone else who got on after me.,1.0,R_1Apm0QuefchYqiZ
62,scenario8,7,5.86,Tie my shoe.,0.8571428571428571,R_1Apm0QuefchYqiZ
63,scenario8,8,2.434,Check the time.,1.0,R_1Apm0QuefchYqiZ
64,scenario3,1,5.41,Whistle to yourself ,0.8571428571428571,R_1CDqToLCae1KwYW
65,scenario3,2,18.11,Listen to music ,0.8571428571428571,R_1CDqToLCae1KwYW
66,scenario3,3,6.859,Browse book categories ,1.0,R_1CDqToLCae1KwYW
67,scenario3,4,8.145,Listen to music ,1.0,R_1CDqToLCae1KwYW
68,scenario3,5,4.791,Text a friend ,1.0,R_1CDqToLCae1KwYW
69,scenario3,6,7.756,Browse social media ,1.0,R_1CDqToLCae1KwYW
70,scenario3,7,8.983,Ask for help,1.0,R_1CDqToLCae1KwYW
71,scenario3,8,7.328,Make conversation ,0.7142857142857143,R_1CDqToLCae1KwYW
72,scenario4,1,4.58,Sleep ,1.0,R_1CDqToLCae1KwYW
73,scenario4,2,3.201,Work,1.0,R_1CDqToLCae1KwYW
74,scenario4,3,4.319,Text family ,1.0,R_1CDqToLCae1KwYW
75,scenario4,4,3.722,Read a book,1.0,R_1CDqToLCae1KwYW
76,scenario4,5,4.163,Study ,1.0,R_1CDqToLCae1KwYW
77,scenario4,1,3.668,sleep,1.0,R_12rsaTqrSH1Qt91
78,scenario4,2,2.471,eat,1.0,R_12rsaTqrSH1Qt91
79,scenario4,3,2.672,read,1.0,R_12rsaTqrSH1Qt91
80,scenario4,4,5.778,watch a show,1.0,R_12rsaTqrSH1Qt91
81,scenario4,5,4.766,talk to someone,1.0,R_12rsaTqrSH1Qt91
82,scenario4,6,4.176,look out the window,1.0,R_12rsaTqrSH1Qt91
83,scenario4,7,9.236,stretch,1.0,R_12rsaTqrSH1Qt91
84,scenario4,8,3.229,think,1.0,R_12rsaTqrSH1Qt91
85,scenario5,1,6.211,have a snack,1.0,R_12rsaTqrSH1Qt91
86,scenario5,2,3.164,get a soda,1.0,R_12rsaTqrSH1Qt91
87,scenario5,3,3.398,take a walk,1.0,R_12rsaTqrSH1Qt91
88,scenario5,4,3.731,have coffee,1.0,R_12rsaTqrSH1Qt91
89,scenario5,5,3.349,review notes,1.0,R_12rsaTqrSH1Qt91
90,scenario5,6,2.699,make a call,1.0,R_12rsaTqrSH1Qt91
91,scenario5,7,4.506,listen to music,1.0,R_12rsaTqrSH1Qt91
92,scenario5,8,7.937,watch a video,1.0,R_12rsaTqrSH1Qt91
93,scenario6,1,2.182,listen,1.0,R_12rsaTqrSH1Qt91
94,scenario6,2,2.776,daydream,0.42857142857142855,R_12rsaTqrSH1Qt91
95,scenario6,3,1.802,nap,0.14285714285714285,R_12rsaTqrSH1Qt91
96,scenario6,4,3.309,pay attention,1.0,R_12rsaTqrSH1Qt91
97,scenario6,5,3.122,take notes,1.0,R_12rsaTqrSH1Qt91
98,scenario6,6,4.983,read something else,0.2857142857142857,R_12rsaTqrSH1Qt91
99,scenario6,7,3.159,look around,1.0,R_12rsaTqrSH1Qt91
100,scenario6,8,5.5,raise my hand,1.0,R_12rsaTqrSH1Qt91
101,scenario8,1,3.6,wait,1.0,R_12rsaTqrSH1Qt91
102,scenario8,2,2.998,stand still,1.0,R_12rsaTqrSH1Qt91
103,scenario8,3,4.304,talk to others,1.0,R_12rsaTqrSH1Qt91
104,scenario8,4,3.109,be quiet,1.0,R_12rsaTqrSH1Qt91
105,scenario8,5,6.11,push the button,1.0,R_12rsaTqrSH1Qt91
106,scenario8,6,3.573,look around,1.0,R_12rsaTqrSH1Qt91
107,scenario8,7,4.82,read the certificate,1.0,R_12rsaTqrSH1Qt91
108,scenario8,8,8.792,look at the numbers,1.0,R_12rsaTqrSH1Qt91
109,scenario3,1,3.372,Find a book.,1.0,R_1Apm0QuefchYqiZ
110,scenario3,2,6.619,Read a book.,1.0,R_1Apm0QuefchYqiZ
111,scenario3,3,4.24,Ask the librarian for help.,1.0,R_1Apm0QuefchYqiZ
112,scenario3,4,94.193,Check my phone.,1.0,R_1Apm0QuefchYqiZ
113,scenario3,5,13.075,Use the computer in the library.,1.0,R_1Apm0QuefchYqiZ
114,scenario3,6,65.83,Use a research book.,1.0,R_1Apm0QuefchYqiZ
115,scenario3,7,6.073,Say hello to a friend I see.,1.0,R_1Apm0QuefchYqiZ
116,scenario3,8,4.286,Use the bathroom.,1.0,R_1Apm0QuefchYqiZ
117,scenario5,1,3.944,Check my phone.,1.0,R_1Apm0QuefchYqiZ
118,scenario5,2,3.491,Get some water.,1.0,R_1Apm0QuefchYqiZ
119,scenario5,3,37.506,Respond to an email.,1.0,R_1Apm0QuefchYqiZ
120,scenario5,4,10.016,Get a snack from a vending machine.,1.0,R_1Apm0QuefchYqiZ
121,scenario5,5,13.422,Say hello to someone I know.,1.0,R_1Apm0QuefchYqiZ
122,scenario5,6,18.382,Stretch.,0.7142857142857143,R_1Apm0QuefchYqiZ
123,scenario5,7,79.015,Run to my car to get something I forgot.,1.0,R_1Apm0QuefchYqiZ
124,scenario5,8,10.1,Charge my phone.,1.0,R_1Apm0QuefchYqiZ
125,scenario7,1,7.674,Check my email on the computer.,1.0,R_1Apm0QuefchYqiZ
126,scenario7,2,7.897,Make coffee in the break room.,1.0,R_1Apm0QuefchYqiZ
127,scenario7,3,6.195,Use the bathroom.,1.0,R_1Apm0QuefchYqiZ
128,scenario7,4,9.348,Look out of the window to see what is going on.,1.0,R_1Apm0QuefchYqiZ
129,scenario7,5,7.79,Check my phone.,1.0,R_1Apm0QuefchYqiZ
130,scenario7,6,26.302,Take a selfie.,1.0,R_1Apm0QuefchYqiZ
131,scenario7,7,22.62,Clean my desk.,1.0,R_1Apm0QuefchYqiZ
132,scenario7,8,21.303,Playing a game on the office computer.,1.0,R_1Apm0QuefchYqiZ
133,scenario8,1,12.419,Press the button for the floor I am going to.,1.0,R_1Apm0QuefchYqiZ
134,scenario8,2,10.391,Say hello to other people in the elevator.,1.0,R_1Apm0QuefchYqiZ
135,scenario8,3,9.952,Move back so other people could get on.,1.0,R_1Apm0QuefchYqiZ
136,scenario8,4,4.995,Check my phone.,1.0,R_1Apm0QuefchYqiZ
137,scenario8,5,45.665,Press the button for someone else who could not reach it.,1.0,R_1Apm0QuefchYqiZ
138,scenario8,6,18.351,Have a conversation with someone else who got on after me.,1.0,R_1Apm0QuefchYqiZ
139,scenario8,7,5.86,Tie my shoe.,0.8571428571428571,R_1Apm0QuefchYqiZ
140,scenario8,8,2.434,Check the time.,1.0,R_1Apm0QuefchYqiZ
141,scenario3,1,5.41,Whistle to yourself ,0.8571428571428571,R_1CDqToLCae1KwYW
142,scenario3,2,18.11,Listen to music ,0.8571428571428571,R_1CDqToLCae1KwYW
143,scenario3,3,6.859,Browse book categories ,1.0,R_1CDqToLCae1KwYW
144,scenario3,4,8.145,Listen to music ,1.0,R_1CDqToLCae1KwYW
145,scenario3,5,4.791,Text a friend ,1.0,R_1CDqToLCae1KwYW
146,scenario3,6,7.756,Browse social media ,1.0,R_1CDqToLCae1KwYW
147,scenario3,7,8.983,Ask for help,1.0,R_1CDqToLCae1KwYW
148,scenario3,8,7.328,Make conversation ,0.7142857142857143,R_1CDqToLCae1KwYW
149,scenario4,1,4.58,Sleep ,1.0,R_1CDqToLCae1KwYW
150,scenario4,2,3.201,Work,1.0,R_1CDqToLCae1KwYW
151,scenario4,3,4.319,Text family ,1.0,R_1CDqToLCae1KwYW
152,scenario4,4,3.722,Read a book,1.0,R_1CDqToLCae1KwYW
153,scenario4,5,4.163,Study ,1.0,R_1CDqToLCae1KwYW
154,scenario4,6,3.701,Draw,1.0,R_1CDqToLCae1KwYW
155,scenario4,7,6.501,Look out the window ,1.0,R_1CDqToLCae1KwYW
156,scenario4,8,5.222,Eat a meal ,1.0,R_1CDqToLCae1KwYW
157,scenario6,1,17.476,Write notes ,1.0,R_1CDqToLCae1KwYW
158,scenario6,2,11.01,Listen to the teavher,1.0,R_1CDqToLCae1KwYW
159,scenario6,3,15.722,Record the tracher,0.42857142857142855,R_1CDqToLCae1KwYW
160,scenario6,4,16.947,Talk with a classmate,0.42857142857142855,R_1CDqToLCae1KwYW
161,scenario6,5,7.125,Listen to music ,0.2857142857142857,R_1CDqToLCae1KwYW
162,scenario6,6,4.992,Eat a snack ,0.42857142857142855,R_1CDqToLCae1KwYW
163,scenario6,7,6.797,Text a friend ,0.2857142857142857,R_1CDqToLCae1KwYW
164,scenario6,8,4.645,Browse social media ,0.2857142857142857,R_1CDqToLCae1KwYW
165,scenario7,1,5.251,Order food,1.0,R_1CDqToLCae1KwYW
166,scenario7,2,5.423,Turn music on loud,0.8571428571428571,R_1CDqToLCae1KwYW
167,scenario7,3,8.507,Listen to a YouTube video,1.0,R_1CDqToLCae1KwYW
168,scenario7,4,7.418,Have a phone call ,1.0,R_1CDqToLCae1KwYW
169,scenario7,5,4.931,Drink coffee,1.0,R_1CDqToLCae1KwYW
170,scenario7,6,5.981,Talk to yourself,0.42857142857142855,R_1CDqToLCae1KwYW
171,scenario7,7,6.154,Browse social media,0.7142857142857143,R_1CDqToLCae1KwYW
172,scenario7,8,12.634,Use the bathroom,1.0,R_1CDqToLCae1KwYW
173,scenario1,1,26.089,look to find any interactive exhibits,1.0,R_1CkCWTVcfGzYD25
174,scenario1,2,21.734,View the permanent exhibits,1.0,R_1CkCWTVcfGzYD25
175,scenario1,3,31.245,play with or work the interactive exhibits,1.0,R_1CkCWTVcfGzYD25
176,scenario1,4,32.662,"Visit the gift shop to see if there are brochures or maps to the museum, to make sure I see it all.",1.0,R_1CkCWTVcfGzYD25
177,scenario1,5,58.141,See whether there is a movie theatre in the museum (As in the natural history museum in Albuquerque  NM).,1.0,R_1CkCWTVcfGzYD25
178,scenario1,6,21.782,Watch the IMAX presentation if the museum has a theatre,1.0,R_1CkCWTVcfGzYD25
179,scenario1,7,27.59,Have a cup of tea in the museum's gift shop/cafe,0.8571428571428571,R_1CkCWTVcfGzYD25
180,scenario1,8,36.148,"Make some drawings of exhibits I like, i.e., native american dwellings or village exhibits",0.8571428571428571,R_1CkCWTVcfGzYD25
181,scenario3,1,21.28,Check out sci-fi novelists I like,1.0,R_1CkCWTVcfGzYD25
182,scenario3,2,14.834,Look at the sociology  section,0.8571428571428571,R_1CkCWTVcfGzYD25
183,scenario3,3,16.475,See whether the library has DVDs to check out,1.0,R_1CkCWTVcfGzYD25
184,scenario3,4,31.938,Talk to the librarian about ebooks ,1.0,R_1CkCWTVcfGzYD25
185,scenario3,5,35.171,Use my laptop to get electronic access to the library and have their tech staff talk me through its use,1.0,R_1CkCWTVcfGzYD25
186,scenario3,6,45.259,Check their schedule of events to find out if they have interesting lectures coming up.,0.8571428571428571,R_1CkCWTVcfGzYD25
187,scenario3,7,41.877,Check out their collection of community brochures to see whether there are any community classes upcoming,1.0,R_1CkCWTVcfGzYD25
188,scenario3,8,27.534,learn how to use the automated checkout procedures,1.0,R_1CkCWTVcfGzYD25
189,scenario4,1,29.339,listen to the safety procedures taught by the flight attendant,1.0,R_1CkCWTVcfGzYD25
190,scenario4,2,27.704,Read the in flight magazines in the seat pocket,1.0,R_1CkCWTVcfGzYD25
191,scenario4,3,18.197,Have a soft drink or coffee,1.0,R_1CkCWTVcfGzYD25
192,scenario4,4,15.312,watch an in-flight movie,1.0,R_1CkCWTVcfGzYD25
193,scenario4,5,7.517,Take a nap,0.8571428571428571,R_1CkCWTVcfGzYD25
194,scenario4,6,51.495,Watch the scenery if low enough to the ground to be beneath clouds,0.8571428571428571,R_1CkCWTVcfGzYD25
195,scenario4,7,32.431,Read a book if I brought one (paper or ebook),1.0,R_1CkCWTVcfGzYD25
196,scenario4,8,4.795,Talk to the person next to me if they are interesting,0.5714285714285714,R_1CkCWTVcfGzYD25
197,scenario7,1,15.223,Do the work I'm there for.,1.0,R_1CkCWTVcfGzYD25
198,scenario7,2,8.937,Clean out my desk,0.7142857142857143,R_1CkCWTVcfGzYD25
199,scenario7,3,11.201,watch TV if there is one in my office,0.7142857142857143,R_1CkCWTVcfGzYD25
200,scenario7,4,23.702,"Check out the office kitchen for a snack if I have one in a fridge, or vending",0.8571428571428571,R_1CkCWTVcfGzYD25
201,scenario7,5,11.988,Catch up on my emails,0.8571428571428571,R_1CkCWTVcfGzYD25
202,scenario7,6,18.201,"Make any phone calls I need, to catch up with ongoing work",0.8571428571428571,R_1CkCWTVcfGzYD25
203,scenario7,7,147.845,check to see whether my secretary has any munchies in her desk.,0.42857142857142855,R_1CkCWTVcfGzYD25
204,scenario7,8,30.471,Review my open files and make notes of things to do,0.8571428571428571,R_1CkCWTVcfGzYD25
205,scenario1,1,11.05,I could walk around and look at the exhibits. ,1.0,R_1FD26cuU4g8OehX
206,scenario1,2,11.763,I could sit down at a bench and relax for awhile. ,1.0,R_1FD26cuU4g8OehX
207,scenario1,3,11.43,I could talk to other people about the exhibits and make a new friend. ,0.8571428571428571,R_1FD26cuU4g8OehX
208,scenario1,4,13.484,I could visit the gift shop and find a postcard. ,1.0,R_1FD26cuU4g8OehX
209,scenario1,5,19.971,I could visit the bathrooms to splash water on my face and freshen up.,0.8571428571428571,R_1FD26cuU4g8OehX
210,scenario1,6,38.132,I could run around the room screaming if I did not care about being kicked out. ,0.14285714285714285,R_1FD26cuU4g8OehX
211,scenario1,7,54.574,I could look out the window to see what the weather is. ,0.8571428571428571,R_1FD26cuU4g8OehX
212,scenario1,8,41.082,I could walk around in circles if I want. ,0.2857142857142857,R_1FD26cuU4g8OehX
213,scenario4,1,10.647,I could ask the flight attendant for a diet coke. ,1.0,R_1FD26cuU4g8OehX
214,scenario4,2,21.568,I could go to use the bathroom as long as the cart is not in my way. ,1.0,R_1FD26cuU4g8OehX
215,scenario4,3,10.496,I could watch a movie if one is being offered. ,1.0,R_1FD26cuU4g8OehX
216,scenario4,4,16.461,I could look at the in-flight map to see where the plane is in relation to the trip. ,1.0,R_1FD26cuU4g8OehX
217,scenario4,5,12.716,I could speak with another passenger to pass the time. ,0.8571428571428571,R_1FD26cuU4g8OehX
218,scenario4,6,6.966,I could read a book or a magazine. ,1.0,R_1FD26cuU4g8OehX
219,scenario4,7,32.382,I could play games on the screen on the back of the seat in front of me. ,0.8571428571428571,R_1FD26cuU4g8OehX
220,scenario4,8,10.258,I could get a pillow and take a nap. ,0.8571428571428571,R_1FD26cuU4g8OehX
221,scenario5,1,11.51,I could stop off and get donuts for the meeting. ,1.0,R_1FD26cuU4g8OehX
222,scenario5,2,12.122,I could make coffee for everybody in the meeting. ,0.8571428571428571,R_1FD26cuU4g8OehX
223,scenario5,3,11.458,I could stop at a car wash and wash my car. ,0.7142857142857143,R_1FD26cuU4g8OehX
224,scenario5,4,14.858,I could think about what our objectives are as I drive to the meeting. ,1.0,R_1FD26cuU4g8OehX
225,scenario5,5,16.557,I could turn on my radio and sing at the top of my lungs on the way to the meeting. ,0.42857142857142855,R_1FD26cuU4g8OehX
226,scenario5,6,20.856,I could pick up other committee members and take them to the meeting with me.  ,1.0,R_1FD26cuU4g8OehX
227,scenario5,7,9.498,I could stop to get gas on the way to the meeting. ,1.0,R_1FD26cuU4g8OehX
228,scenario5,8,15.529,I could call a friend and talk to them over the phone on the way to the meeting. ,0.7142857142857143,R_1FD26cuU4g8OehX
229,scenario7,1,34.456,I could turn on the radio as loud as I want since nobody else is around. ,0.8571428571428571,R_1FD26cuU4g8OehX
230,scenario7,2,46.371,I could walk around and look at the belongings on other desks. ,0.2857142857142857,R_1FD26cuU4g8OehX
231,scenario7,3,15.75,I could take off my shoes to make myself more comfortable. ,0.7142857142857143,R_1FD26cuU4g8OehX
232,scenario7,4,21.257,I could call my friend and talk as long as I want without fear of being judged. ,0.7142857142857143,R_1FD26cuU4g8OehX
233,scenario7,5,23.788,I could put my feet up on my desk to be comfortable. ,0.7142857142857143,R_1FD26cuU4g8OehX
234,scenario7,6,14.721,I could eat food at my desk while I am working. ,0.8571428571428571,R_1FD26cuU4g8OehX
235,scenario7,7,13.159,I could dance around the room if I want to. ,0.42857142857142855,R_1FD26cuU4g8OehX
236,scenario7,8,68.857,I could play Youtube videos on my computer.  ,0.7142857142857143,R_1FD26cuU4g8OehX
237,scenario2,1,9.625,Get pizza from the buffet.,1.0,R_1H0ngSwqih0XSbB
238,scenario2,2,11.325,Get ice cream from the buffet.,1.0,R_1H0ngSwqih0XSbB
239,scenario2,3,13.17,Have a conversation with a friend.,1.0,R_1H0ngSwqih0XSbB
240,scenario2,4,8.826,Refill your drink.,1.0,R_1H0ngSwqih0XSbB
241,scenario2,5,4.979,Use the restroom.,1.0,R_1H0ngSwqih0XSbB
242,scenario2,6,6.727,Steal the silverware.,0.14285714285714285,R_1H0ngSwqih0XSbB
243,scenario2,7,15.543,Get fried chicken from the buffet.,1.0,R_1H0ngSwqih0XSbB
244,scenario2,8,14.781,Cough on the food in the buffet.,0.14285714285714285,R_1H0ngSwqih0XSbB
245,scenario3,1,7.293,Browse the book shelves.,1.0,R_1H0ngSwqih0XSbB
246,scenario3,2,8.25,Read a novel.,1.0,R_1H0ngSwqih0XSbB
247,scenario3,3,14.67,Read a magazine.,1.0,R_1H0ngSwqih0XSbB
248,scenario3,4,8.202,Rearrange the books on the shelves.,0.14285714285714285,R_1H0ngSwqih0XSbB
249,scenario3,5,8.66,Ask for help from the librarian.,1.0,R_1H0ngSwqih0XSbB
250,scenario3,6,7.539,Make copies at the copy machine.,1.0,R_1H0ngSwqih0XSbB
251,scenario3,7,12.652,Use a reference computer.,1.0,R_1H0ngSwqih0XSbB
252,scenario3,8,15.606,Check out a selection of books.,1.0,R_1H0ngSwqih0XSbB
253,scenario4,1,11.743,Order a drink.,1.0,R_1H0ngSwqih0XSbB
254,scenario4,2,10.483,Use the restroom.,1.0,R_1H0ngSwqih0XSbB
255,scenario4,3,6.338,Take a nap.,1.0,R_1H0ngSwqih0XSbB
256,scenario4,4,5.542,Read the newspaper.,1.0,R_1H0ngSwqih0XSbB
257,scenario4,5,4.58,Read a novel.,1.0,R_1H0ngSwqih0XSbB
258,scenario4,6,6.35,Listen to a podcast.,1.0,R_1H0ngSwqih0XSbB
259,scenario4,7,5.195,Listen to music.,1.0,R_1H0ngSwqih0XSbB
260,scenario4,8,5.36,Watch a movie.,1.0,R_1H0ngSwqih0XSbB
261,scenario7,1,9.05,Clean your desk.,1.0,R_1H0ngSwqih0XSbB
262,scenario7,2,8.592,Fill out boring paperwork.,1.0,R_1H0ngSwqih0XSbB
263,scenario7,3,15.563,Look through other employees' desks.,0.5714285714285714,R_1H0ngSwqih0XSbB
264,scenario7,4,21.529,Steal paper from the printer.,0.2857142857142857,R_1H0ngSwqih0XSbB
265,scenario7,5,26.415,Take a nap.,0.42857142857142855,R_1H0ngSwqih0XSbB
266,scenario7,6,12.02,Listen to loud music while you work.,0.5714285714285714,R_1H0ngSwqih0XSbB
267,scenario7,7,10.014,Sweep the floors.,0.5714285714285714,R_1H0ngSwqih0XSbB
268,scenario7,8,15.13,Draw on the walls.,0.14285714285714285,R_1H0ngSwqih0XSbB
269,scenario2,1,5.475,eat a great meal,1.0,R_1HnJXKDoHIk2uqI
270,scenario2,2,9.713,talk to others,1.0,R_1HnJXKDoHIk2uqI
271,scenario2,3,11.231,talk to the waiters,1.0,R_1HnJXKDoHIk2uqI
272,scenario2,4,8.641,enjoy the food and ambiance,1.0,R_1HnJXKDoHIk2uqI
273,scenario2,5,9.417,try something new to eat,1.0,R_1HnJXKDoHIk2uqI
274,scenario2,6,10.496,savor the moment,1.0,R_1HnJXKDoHIk2uqI
275,scenario2,7,10.855,relax,1.0,R_1HnJXKDoHIk2uqI
276,scenario2,8,10.967,sneak some food in my purse,0.42857142857142855,R_1HnJXKDoHIk2uqI
277,scenario4,1,8.368,speak to the attendant,1.0,R_1HnJXKDoHIk2uqI
278,scenario4,2,6.337,get a snack,1.0,R_1HnJXKDoHIk2uqI
279,scenario4,3,6.219,talk to passengers,1.0,R_1HnJXKDoHIk2uqI
280,scenario4,4,6.532,take a nap,1.0,R_1HnJXKDoHIk2uqI
281,scenario4,5,6.05,look out the window,1.0,R_1HnJXKDoHIk2uqI
282,scenario4,6,6.912,watch a movie,1.0,R_1HnJXKDoHIk2uqI
283,scenario4,7,9.827,get some work done,1.0,R_1HnJXKDoHIk2uqI
284,scenario4,8,8.983,think about later plans,1.0,R_1HnJXKDoHIk2uqI
285,scenario6,1,12.461,Make sure I listen.,1.0,R_1HnJXKDoHIk2uqI
286,scenario6,2,5.067,Take notes.,1.0,R_1HnJXKDoHIk2uqI
287,scenario6,3,11.886,Be willing to learn,1.0,R_1HnJXKDoHIk2uqI
288,scenario6,4,8.739,Pay attention,1.0,R_1HnJXKDoHIk2uqI
289,scenario6,5,13.587,Realize the importance of the class,1.0,R_1HnJXKDoHIk2uqI
290,scenario6,6,14.68,Learn the style of the professor,1.0,R_1HnJXKDoHIk2uqI
291,scenario6,7,8.965,gain knowledge,1.0,R_1HnJXKDoHIk2uqI
292,scenario6,8,12.875,gain friends,1.0,R_1HnJXKDoHIk2uqI
293,scenario7,1,5.957,enjoy the quiet,1.0,R_1HnJXKDoHIk2uqI
294,scenario7,2,5.185,get some work done,1.0,R_1HnJXKDoHIk2uqI
295,scenario7,3,4.254,take a nap,0.14285714285714285,R_1HnJXKDoHIk2uqI
296,scenario7,4,8.39,sneak a peek at others work,0.14285714285714285,R_1HnJXKDoHIk2uqI
297,scenario7,5,5.867,listen to music,1.0,R_1HnJXKDoHIk2uqI
298,scenario7,6,7.207,make some calls,0.42857142857142855,R_1HnJXKDoHIk2uqI
299,scenario7,7,10.819,play some games,0.42857142857142855,R_1HnJXKDoHIk2uqI
300,scenario7,8,4.431,eat dinner,0.8571428571428571,R_1HnJXKDoHIk2uqI
301,scenario2,1,12.713,Get my food from the bar,1.0,R_1HnNgmFUKrHQ2MB
302,scenario2,2,21.016,Use the restroom,1.0,R_1HnNgmFUKrHQ2MB
303,scenario2,3,59.109,Talk to a server,1.0,R_1HnNgmFUKrHQ2MB
304,scenario2,4,15.856,Inquire about a recipie ,1.0,R_1HnNgmFUKrHQ2MB
305,scenario2,5,15.687,Try something new,1.0,R_1HnNgmFUKrHQ2MB
306,scenario2,6,6.058,Order a drink,1.0,R_1HnNgmFUKrHQ2MB
307,scenario2,7,11.431,Loom at the restaurant building design,1.0,R_1HnNgmFUKrHQ2MB
308,scenario2,8,8.3,Check my email,1.0,R_1HnNgmFUKrHQ2MB
309,scenario4,1,6.516,Read a book,1.0,R_1HnNgmFUKrHQ2MB
310,scenario4,2,5.951,Listen to music,1.0,R_1HnNgmFUKrHQ2MB
