rowNo,type,stimFormat,condition1,condition2,ITI,random,randomBlock,responseType,head,required,responseOptions,pageName,pageBreak,ITI_ms,timestamp,response,RT,correct,responseCode,GMT_timestamp,local_timestamp,link,id,age,sex,education,handedness,completionCode
13,form,word,Brian,NA,NA,NA,2,box,Answer 5,NA,NA,"You are the evening manager at a bakery. Near the end of the day, you realize that $50.75 is missing from the register and that you are responsible for accounting for the money at the end of the day. You know you have to make sure the register is balanced or the manager will make the entire staff work overtime to make up for it.<br><br>In this situation, what are some things you could do?",NA,NA,86537,NA,20182,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
14,form,word,Brian,NA,NA,NA,2,box,Answer 6,NA,NA,"You are the evening manager at a bakery. Near the end of the day, you realize that $50.75 is missing from the register and that you are responsible for accounting for the money at the end of the day. You know you have to make sure the register is balanced or the manager will make the entire staff work overtime to make up for it.<br><br>In this situation, what are some things you could do?",1,NA,86537,NA,20182,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
3,form,word,Heinz,NA,NA,NA,1,box,Answer 1,1,NA,"Your significant other has recently fallen ill and needs an expensive medication that is not covered by your medical insurance. You do not have the money needed to purchase the expensive prescription medication, but you know that it is vital for them to have it if they are going to recover.<br><br>In this situation, what are some things you could do?",NA,NA,106009,ask for help,18959,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
4,form,word,Heinz,NA,NA,NA,1,box,Answer 2,1,NA,"Your significant other has recently fallen ill and needs an expensive medication that is not covered by your medical insurance. You do not have the money needed to purchase the expensive prescription medication, but you know that it is vital for them to have it if they are going to recover.<br><br>In this situation, what are some things you could do?",NA,NA,106009,steal the money,18959,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
5,form,word,Heinz,NA,NA,NA,1,box,Answer 3,1,NA,"Your significant other has recently fallen ill and needs an expensive medication that is not covered by your medical insurance. You do not have the money needed to purchase the expensive prescription medication, but you know that it is vital for them to have it if they are going to recover.<br><br>In this situation, what are some things you could do?",NA,NA,106009,steal the medicine,18959,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
6,form,word,Heinz,NA,NA,NA,1,box,Answer 4,NA,NA,"Your significant other has recently fallen ill and needs an expensive medication that is not covered by your medical insurance. You do not have the money needed to purchase the expensive prescription medication, but you know that it is vital for them to have it if they are going to recover.<br><br>In this situation, what are some things you could do?",NA,NA,106009,NA,18959,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
7,form,word,Heinz,NA,NA,NA,1,box,Answer 5,NA,NA,"Your significant other has recently fallen ill and needs an expensive medication that is not covered by your medical insurance. You do not have the money needed to purchase the expensive prescription medication, but you know that it is vital for them to have it if they are going to recover.<br><br>In this situation, what are some things you could do?",NA,NA,106009,NA,18959,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
8,form,word,Heinz,NA,NA,NA,1,box,Answer 6,NA,NA,"Your significant other has recently fallen ill and needs an expensive medication that is not covered by your medical insurance. You do not have the money needed to purchase the expensive prescription medication, but you know that it is vital for them to have it if they are going to recover.<br><br>In this situation, what are some things you could do?",1,NA,106009,NA,18959,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
33,form,word,Erica,NA,NA,NA,6,box,Answer 1,1,NA,"You are leaving the mall on a hot summer day. In the parking lot, you notice a dog in the back of a car without any of its windows open. The dog is panting heavily and looks tired.<br><br>In this situation, what are some things you could do?",NA,NA,126481,call the police,19958,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
34,form,word,Erica,NA,NA,NA,6,box,Answer 2,1,NA,"You are leaving the mall on a hot summer day. In the parking lot, you notice a dog in the back of a car without any of its windows open. The dog is panting heavily and looks tired.<br><br>In this situation, what are some things you could do?",NA,NA,126481,break the window,19958,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
35,form,word,Erica,NA,NA,NA,6,box,Answer 3,1,NA,"You are leaving the mall on a hot summer day. In the parking lot, you notice a dog in the back of a car without any of its windows open. The dog is panting heavily and looks tired.<br><br>In this situation, what are some things you could do?",NA,NA,126481,leave,19958,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
36,form,word,Erica,NA,NA,NA,6,box,Answer 4,NA,NA,"You are leaving the mall on a hot summer day. In the parking lot, you notice a dog in the back of a car without any of its windows open. The dog is panting heavily and looks tired.<br><br>In this situation, what are some things you could do?",NA,NA,126481,NA,19958,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
37,form,word,Erica,NA,NA,NA,6,box,Answer 5,NA,NA,"You are leaving the mall on a hot summer day. In the parking lot, you notice a dog in the back of a car without any of its windows open. The dog is panting heavily and looks tired.<br><br>In this situation, what are some things you could do?",NA,NA,126481,NA,19958,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
38,form,word,Erica,NA,NA,NA,6,box,Answer 6,NA,NA,"You are leaving the mall on a hot summer day. In the parking lot, you notice a dog in the back of a car without any of its windows open. The dog is panting heavily and looks tired.<br><br>In this situation, what are some things you could do?",1,NA,126481,NA,19958,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
27,form,word,Cameron,NA,NA,NA,5,box,Answer 1,1,NA,"You are filling up your car at a gas station on your way home from work when a woman approaches you to ask for a ride to a nearby city. The city is in the same direction as your house but it’s 10 miles further than you had planned to go.<br><br>In this situation, what are some things you could do?",NA,NA,145673,take her,18684,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
28,form,word,Cameron,NA,NA,NA,5,box,Answer 2,1,NA,"You are filling up your car at a gas station on your way home from work when a woman approaches you to ask for a ride to a nearby city. The city is in the same direction as your house but it’s 10 miles further than you had planned to go.<br><br>In this situation, what are some things you could do?",NA,NA,145673,don't take her,18684,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
29,form,word,Cameron,NA,NA,NA,5,box,Answer 3,1,NA,"You are filling up your car at a gas station on your way home from work when a woman approaches you to ask for a ride to a nearby city. The city is in the same direction as your house but it’s 10 miles further than you had planned to go.<br><br>In this situation, what are some things you could do?",NA,NA,145673,call a cab,18684,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
30,form,word,Cameron,NA,NA,NA,5,box,Answer 4,NA,NA,"You are filling up your car at a gas station on your way home from work when a woman approaches you to ask for a ride to a nearby city. The city is in the same direction as your house but it’s 10 miles further than you had planned to go.<br><br>In this situation, what are some things you could do?",NA,NA,145673,NA,18684,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
31,form,word,Cameron,NA,NA,NA,5,box,Answer 5,NA,NA,"You are filling up your car at a gas station on your way home from work when a woman approaches you to ask for a ride to a nearby city. The city is in the same direction as your house but it’s 10 miles further than you had planned to go.<br><br>In this situation, what are some things you could do?",NA,NA,145673,NA,18684,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
32,form,word,Cameron,NA,NA,NA,5,box,Answer 6,NA,NA,"You are filling up your car at a gas station on your way home from work when a woman approaches you to ask for a ride to a nearby city. The city is in the same direction as your house but it’s 10 miles further than you had planned to go.<br><br>In this situation, what are some things you could do?",1,NA,145673,NA,18684,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
45,form,word,Andy,NA,NA,NA,8,box,Answer 1,1,NA,"Your mother just died and, without her, your father is unable to take care of himself. You can’t afford to put your father in a retirement home and your apartment has barely enough room for one person.<br><br>In this situation, what are some things you could do?",NA,NA,170017,walk away,23835,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
46,form,word,Andy,NA,NA,NA,8,box,Answer 2,1,NA,"Your mother just died and, without her, your father is unable to take care of himself. You can’t afford to put your father in a retirement home and your apartment has barely enough room for one person.<br><br>In this situation, what are some things you could do?",NA,NA,170017,ask family for help,23835,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
47,form,word,Andy,NA,NA,NA,8,box,Answer 3,1,NA,"Your mother just died and, without her, your father is unable to take care of himself. You can’t afford to put your father in a retirement home and your apartment has barely enough room for one person.<br><br>In this situation, what are some things you could do?",NA,NA,170017,take him in anyway,23835,0,NA,2021-08-26_16:40:01,2021-08-26_11:40:01,https://www.testable.org/experiment/31/731033/start?hitId=36KM3FWE4UIBPQT260TY11Y4XXK70G&workerId=A38OPVI04AH4JG&assignmentId=3EG49X351YI340J2G4IFSLH7L6U6X1&a=59GE4&tp_a=59GE4&b=3EG49X351YI340J2G4IFSLH7L6U6X1&tp_b=3EG49X351YI340J2G4IFSLH7L6U6X1&c=315514&tp_c=315514,A38OPVI04AH4JG,53,male,College or Technical school,right-handed,YSGa9bQGGNgqr1jB
